AFR 105-01 (F),AFR 105-01 (F)  LEC African Art Survey,MW 11:00am-12:15pm
AFR 126-01 (F),AFR 126-01 (F)  SEM Black Literature Matters,TR 8:30am-9:45am
AFR 129-01 (S),AFR 129-01 (S)  SEM 20th Century Black Poets,MWF 8:30am-9:45am
AFR 167-01 (F),AFR 167-01 (F)  SEM Aframericans and Emancipation,W 7:00pm-9:40pm
AFR 200-01 (S),AFR 200-01 (S)  LEC Intro to Africana Studies,TR 11:20am-12:35pm
AFR 201-01 (S),AFR 201-01 (S)  STU African Dance and Percussion,TF 1:10pm-3:50pm
AFR 206-01 (F),AFR 206-01 (F)  STU African Dance & Percussion,TF 1:10pm-3:50pm
AFR 207-T1 (F),AFR 207-T1 (F)  TUT Out of Africa,TBA
AFR 212-B1 (S),AFR 212-B1 (S)  SEM Jazz Theory & Improvisation I,TR 9:55am-11:10am
AFR 216-01 (S),AFR 216-01 (S)  SEM Moving While Black,MR 1:10pm-2:25pm
AFR 218-01 (S),AFR 218-01 (S)  SEM Gender Sexuality Neoslave Narr,TR 11:20am-12:35pm
AFR 223-01 (F),AFR 223-01 (F)  SEM Performing Politics in Africa,MR 1:10pm-2:25pm
AFR 231-01 (F),AFR 231-01 (F)  SEM The African Anthropocene,TR 8:30am-9:45am
AFR 242-01 (F),AFR 242-01 (F)  LEC John Coltrane,TF 1:10pm-2:25pm
AFR 246-01 (S),AFR 246-01 (S)  SEM Africanamerican History,W 1:10pm-3:50pm
AFR 275-01 (S),AFR 275-01 (S)  SEM Reading the Dirty South,TR 9:55am-11:10am
AFR 276-T1 (S),AFR 276-T1 (S)  TUT Black Europeans,TBA
AFR 283-01 (F),AFR 283-01 (F)  SEM Black Queer Looks,TF 1:10pm-2:25pm
AFR 299-01 (F),AFR 299-01 (F)  SEM Rastafari,TR 9:55am-11:10am
AFR 30-01 (W),AFR 30-01 (W)  IND Sen Project: Africana Studies,TBA
AFR 301-01 (F),AFR 301-01 (F)  SEM Experimental Africamer Poetry,W 1:10pm-3:50pm
AFR 302-01 (S),AFR 302-01 (S)  SEM Complexion Complexities,TR 8:30am-9:45am
AFR 323-01 (S),AFR 323-01 (S)  SEM Africana Graphic Novels,TR 9:55am-11:10am
AFR 326-01 (S),AFR 326-01 (S)  SEM Gender; Race; Beauty; Power,TR 11:20am-12:35pm
AFR 327-01 (S),AFR 327-01 (S)  LEC Sounds and Pressures,TF 1:10pm-2:25pm
AFR 333-01 (S),AFR 333-01 (S)  SEM New Minorityamerican Writing,T 1:10pm-3:50pm
AFR 339-01 (S),AFR 339-01 (S)  SEM Black Counterpublic Sphere,TF 1:10pm-2:25pm
AFR 346-01 (S),AFR 346-01 (S)  LEC Modern Brazil,MW 7:00pm-8:15pm
AFR 357-01 (S),AFR 357-01 (S)  SEM Racial and Religious Mixture,MR 2:35pm-3:50pm
AFR 360-01 (F),AFR 360-01 (F)  SEM Political Thought Frantz Fanon,MR 1:10pm-2:25pm
AFR 364-01 (F),AFR 364-01 (F)  LEC History of the Old South,TF 1:10pm-2:25pm
AFR 369-T1 (S),AFR 369-T1 (S)  TUT African Art / Western Museum,TBA
AFR 370-01 (F),AFR 370-01 (F)  LEC The Caribbean and the World,TF 1:10pm-2:25pm
AFR 378-01 (S),AFR 378-01 (S)  SEM Uncontrollable,MW 11:00am-12:15pm
AFR 385-01 (F),AFR 385-01 (F)  SEM Civil War and Reconstruction,W 1:10pm-3:50pm
AFR 440-01 (F),AFR 440-01 (F)  SEM Performing Blackness,W 1:10pm-3:50pm
AFR 494-01 (S),AFR 494-01 (S)  HON Honors Dossier,TBA
AFR 497-01 (F),AFR 497-01 (F)  IND Ind Study: Africana Studies,TBA
AFR 498-01 (S),AFR 498-01 (S)  IND Ind Study: Africana Studies,TBA
AFR 99-01 (W),AFR 99-01 (W)  IND Ind Study: Africana Studies,TBA
AMST 101-01 (F),AMST 101-01 (S)  SEMamerica:the Nation&Discontents,MR 1:10pm-2:25pm
AMST 105-01 (S),AMST 105-01 (S)  SEMamerican Girlhoods,TF 2:35pm-3:50pm
AMST 113-01 (F),AMST 113-01 (F)  SEM Feminist Poetry Movement,MWF 8:30am-9:45am
AMST 114-01 (S),AMST 114-01 (S)  SEM US Media Central Southamerica,TR 9:55am-11:10am
AMST 125-01 (F),AMST 125-01 (F)  LEC Intro Asianamerican Studies,TR 8:30am-9:45am
AMST 126-01 (F),AMST 126-01 (F)  SEM Black Literature Matters,TR 8:30am-9:45am
AMST 128-01 (S),AMST 128-01 (S)  SEM Reading Asianamerican Lit,TR 9:55am-11:10am
AMST 142-T1 (F),AMST 142-T1 (F)  TUT AlterNatives,TBA
AMST 157-01 (S),AMST 157-01 (S)  SEM 1960s U.S. History,MR 2:35pm-3:50pm
AMST 163-01 (S),AMST 163-01 (S)  SEM Earlyamerican Communications,TR 9:55am-11:10am
AMST 167-01 (F),AMST 167-01 (F)  SEM Aframericans and Emancipation,W 7:00pm-9:40pm
AMST 209-01 (F),AMST 209-01 (F)  SEM Intro to BBQT,TF 2:35pm-3:50pm
AMST 213-01 (S),AMST 213-01 (S)  SEM Asian-American Identities,TR 9:55am-11:10am
AMST 214-01 (F),AMST 214-01 (F)  SEM Performance Ethnography,W 1:10pm-3:50pm
AMST 218-01 (S),AMST 218-01 (S)  SEM Gender Sexuality Neoslave Narr,TR 11:20am-12:35pm
AMST 223-01 (F),AMST 223-01 (F)  SEM A/PI/A Foodways and Culture,MR 1:10pm-2:25pm
AMST 226-01 (S),AMST 226-01 (S)  SEM Gender and the Dancing Body,W 1:10pm-3:50pm
AMST 238-01 (F),AMST 238-01 (F)  LEC Zen andamerican Literature,MW 7:00pm-8:15pm
AMST 240-01 (F),AMST 240-01 (F)  SEM Latina/o Language Politics,TF 1:10pm-2:25pm
AMST 245-01 (F),AMST 245-01 (F)  SEM Race; Power; & Food History,TF 2:35pm-3:50pm
AMST 249-01 (F),AMST 249-01 (F)  SEM Asianam Perf: Activism Aesth,M 7:00pm-9:40pm
AMST 254-01 (F),AMST 254-01 (F)  LEC Nativeamerican Histories,TR 11:20am-12:35pm
AMST 264-01 (F),AMST 264-01 (F)  LECamer Art&Architec;1600-Present,TR 9:55am-11:10am
AMST 265-01 (S),AMST 265-01 (S)  LEC Pop Art,MWF 8:30am-9:45am
AMST 272-01 (S),AMST 272-01 (S)  SEMamerican Postmodern Fiction,TR 11:20am-12:35pm
AMST 275-T1 (F),AMST 275-T1 (F)  TUTamrcn Drama: Hidden Knowledge,TBA
AMST 276-01 (S),AMST 276-01 (S)  SEM Reading the Dirty South,TR 9:55am-11:10am
AMST 283-01 (F),AMST 283-01 (F)  SEM Black Queer Looks,TF 1:10pm-2:25pm
AMST 30-01 (W),AMST 30-01 (W)  HON Sen Honors:american Studies,TBA
AMST 301-01 (F),AMST 301-01 (F)  SEM Theories & Mthdsam Studies,TF 1:10pm-2:25pm
AMST 302-01 (F),AMST 302-01 (F)  SEM Environmental PlanningWorkshop,TR 11:20am-12:35pm
AMST 307-01 (F),AMST 307-01 (F)  SEM Experimental Africamer Poetry,W 1:10pm-3:50pm
AMST 313-01 (S),AMST 313-01 (S)  SEM Gender; Race; Beauty; Power,TR 11:20am-12:35pm
AMST 323-01 (S),AMST 323-01 (S)  SEM Africana Graphic Novels,TR 9:55am-11:10am
AMST 327-01 (S),AMST 327-01 (S)  SEM Racial and Religious Mixture,MR 2:35pm-3:50pm
AMST 331-01 (S),AMST 331-01 (S)  SEM New Orleans as Muse,R 1:10pm-3:50pm
AMST 338-01 (S),AMST 338-01 (S)  SEM Theamerican Renaissance,TF 1:10pm-2:25pm
AMST 340-01 (S),AMST 340-01 (S)  SEM Bishop in theamericas,TF 1:10pm-2:25pm
AMST 344-01 (F),AMST 344-01 (F)  SEM Pacific-New England,MR 1:10pm-2:25pm
AMST 353-01 (S),AMST 353-01 (S)  SEM History of Native Science,W 1:10pm-3:50pm
AMST 360-01 (F),AMST 360-01 (F)  LEC Atlantic World Histories,MR 1:10pm-2:25pm
AMST 364-01 (F),AMST 364-01 (F)  LEC History of the Old South,TF 1:10pm-2:25pm
AMST 371-01 (F),AMST 371-01 (F)  SEM Oral History,MR 1:10pm-2:25pm
AMST 376-01 (F),AMST 376-01 (F)  SEM Landscapes inamerican Lit.,TR 8:30am-9:45am
AMST 381-01 (S),AMST 381-01 (S)  LEC Legal History of AsAm,MR 1:10pm-2:25pm
AMST 382-01 (S),AMST 382-01 (S)  SEM Asian/American Film and Video,MR 2:35pm-3:50pm
AMST 384-01 (F),AMST 384-01 (F)  LEC Topics Asianamerican Studies,TR 11:20am-12:35pm
AMST 397-01 (F),AMST 397-01 (F)  IND Indep Study:American Studies,TBA
AMST 398-01 (S),AMST 398-01 (S)  IND Indep Study:American Studies,TBA
AMST 403-01 (S),AMST 403-01 (S)  SEM New Minorityamerican Writing,T 1:10pm-3:50pm
AMST 411-01 (F),AMST 411-01 (F)  SEM Transnationalism,TF 2:35pm-3:50pm
AMST 455-01 (S),AMST 455-01 (S)  SEMamerican Material Culture,W 1:10pm-3:50pm
AMST 456-01 (F),AMST 456-01 (F)  SEM Civil War and Reconstruction,W 1:10pm-3:50pm
AMST 468-01 (F),AMST 468-01 (F)  SEM Race and Empire,W 1:10pm-3:50pm
AMST 478-01 (S),AMST 478-01 (S)  SEM Cold War Landscapes,W 1:10pm-3:50pm
AMST 491-01 (F),AMST 491-01 (F)  HON Sen Honors:american Studies,TBA
AMST 492-01 (S),AMST 492-01 (S)  HON Sen Honors:american Studies,TBA
AMST 99-01 (W),AMST 99-01 (W)  IND Indep Study:american Studies,TBA
ANSO 205-01 (S),ANSO 205-01 (S)  SEM Ways of Knowing,W 1:10pm-3:50pm
ANSO 214-01 (F),ANSO 214-01 (F)  SEM Performance Ethnography,W 1:10pm-3:50pm
ANSO 305-01 (F),ANSO 305-01 (F)  SEM Social Theory,MWF 11:00am-12:15pm
ANSO 402-01 (S),ANSO 402-01 (S)  SEM Senior Seminar,MR 1:10pm-2:25pm
ANSO 99-01 (W),ANSO 99-01 (W)  IND Independent Study: ANSO,TBA
ANTH 101-01 (F),ANTH 101-01 (S)  LEC How to Be Human,MR 2:35pm-3:50pm
ANTH 134-T1 (S),ANTH 134-T1 (S)  TUT Leaving the World Behind,TBA
ANTH 212-01 (F),ANTH 212-01 (F)  LEC Foundations of China,MWF 12:00pm-12:50pm
ANTH 225-01 (S),ANTH 225-01 (S)  LEC Fact/Fiction/Film,TR 11:20am-12:35pm
ANTH 228-01 (F),ANTH 228-01 (F)  SEM Jihad,TR 11:20am-12:35pm
ANTH 232-01 (F),ANTH 232-01 (F)  SEM Town and Gown,M 7:00pm-9:40pm
ANTH 240-01 (S),ANTH 240-01 (S)  SEM Work as a Cultural System,TR 9:55am-11:10am
ANTH 242-01 (S),ANTH 242-01 (S)  SEM The Country and the City,MR 2:35pm-3:50pm
ANTH 31-01 (W),ANTH 31-01 (W)  HON Senior Thesis: Anthropology,TBA
ANTH 371-01 (F),ANTH 371-01 (F)  SEM Medicine; Pathology; Power,W 1:10pm-3:50pm
ANTH 397-01 (F),ANTH 397-01 (F)  IND Indep Study: Anthropology,TBA
ANTH 398-01 (S),ANTH 398-01 (S)  IND Indep Study: Anthropology,TBA
ANTH 493-01 (F),ANTH 493-01 (F)  HON Senior Thesis: Anthropology,TBA
ANTH 99-01 (W),ANTH 99-01 (W)  IND Indep Study: Anthropology,TBA
ARAB 101-01 (F),ARAB 101-01 (F)  LEC Elementary Arabic,M-F 10:00am-10:50am
ARAB 102-01 (S),ARAB 102-01 (S)  LEC Elementary Arabic,M-F 10:00am-10:50am
ARAB 201-01 (F),ARAB 201-01 (F)  LEC Intermediate Arabic I,MWF 11:00am-11:50am
ARAB 202-01 (S),ARAB 202-01 (S)  LEC Intermediate Arabic II,MWF 11:00am-12:15pm
ARAB 207-01 (F),ARAB 207-01 (F)  LEC The Modern Middle East,TF 1:10pm-2:25pm
ARAB 211-01 (S),ARAB 211-01 (S)  LEC 9/11 and Iraq War,TF 1:10pm-2:25pm
ARAB 212-01 (S),ARAB 212-01 (S)  LEC Distant Encounters,MR 2:35pm-3:50pm
ARAB 215-T1 (S),ARAB 215-T1 (S)  TUT The Veil,TBA
ARAB 222-01 (S),ARAB 222-01 (S)  LEC Photography in Middle East,TF 1:10pm-2:25pm
ARAB 249-01 (F),ARAB 249-01 (F)  SEM Trauma and Memory,TR 9:55am-11:10am
ARAB 301-01 (F),ARAB 301-01 (F)  LEC Advanced Arabic 1,MR 1:10pm-2:25pm
ARAB 302-01 (S),ARAB 302-01 (S)  LEC Advanced Arabic 2,MWF 10:00am-10:50am
ARAB 31-01 (W),ARAB 31-01 (W)  HON Senior Thesis: Arabic Studies,TBA
ARAB 329-01 (S),ARAB 329-01 (S)  SEM Arabic Historical Fiction,MR 2:35pm-3:50pm
ARAB 363-01 (S),ARAB 363-01 (S)  SEM Where are all the Jews?,TR 11:20am-12:35pm
ARAB 397-01 (F),ARAB 397-01 (S)  IND Independent Study: Arabic,TBA
ARAB 401-01 (S),ARAB 401-01 (S)  LEC Topics: Contemporary Cinema,MR 1:10pm-2:25pm
ARAB 409-01 (F),ARAB 409-01 (F)  SEM Religion; Politics in Mid East,M 7:00pm-9:40pm
ARAB 493-01 (F),ARAB 493-01 (F)  HON Senior Thesis: Arabic Studies,TBA
ARAB 494-01 (S),ARAB 494-01 (S)  HON Senior Thesis: Arabic Studies,TBA
ARAB 99-01 (W),ARAB 99-01 (W)  IND Independent Study: Arabic,TBA
ARTH 101-01 (F),ARTH 101-01 (F)  LEC Art Through Time,MWF 12:00pm-12:50pm
ARTH 102-01 (S),ARTH 102-01 (S)  LEC Art Through Time II,MWF 12:00pm-12:50pm
ARTH 103-01 (S),ARTH 103-01 (S)  LEC Asian Art Survey,TR 9:55am-11:10am
ARTH 104-01 (F),ARTH 104-01 (F)  LEC African Art Survey,MW 11:00am-12:15pm
ARTH 105-01 (F),ARTH 105-01 (F)  SEM Historical Research in Dance,TR 11:20am-12:35pm
ARTH 207-T1 (F),ARTH 207-T1 (F)  TUT Out of Africa,TBA
ARTH 210-01 (F),ARTH 210-01 (F)  LEC Latinamerican & Latina/o Art,MR 2:35pm-3:50pm
ARTH 212-01 (S),ARTH 212-01 (S)  LEC Distant Encounters,MR 2:35pm-3:50pm
ARTH 213-01 (S),ARTH 213-01 (S)  SEM The Body in Ancient Art,MR 1:10pm-2:25pm
ARTH 222-01 (S),ARTH 222-01 (S)  LEC Photography in Middle East,TF 1:10pm-2:25pm
ARTH 223-01 (S),ARTH 223-01 (S)  SEM Africana Graphic Novels,TR 9:55am-11:10am
ARTH 230-01 (F),ARTH 230-01 (F)  LEC From Alexander to Cleopatra,TF 1:10pm-2:25pm
ARTH 231-T1 (S),ARTH 231-T1 (S)  TUT Art; Life; and Death,TR 11:20am-12:35pm
ARTH 238-01 (S),ARTH 238-01 (S)  LEC Greek Art and the Gods,MW 11:00am-12:15pm
ARTH 239-T1 (F),ARTH 239-T1 (F)  TUT Nineteenth Century in Print,TBA
ARTH 262-01 (S),ARTH 262-01 (S)  LEC Modern Architecture,TR 9:55am-11:10am
ARTH 264-01 (F),ARTH 264-01 (F)  LECamer Art&Architec;1600-Present,TR 9:55am-11:10am
ARTH 265-01 (S),ARTH 265-01 (S)  LEC Pop Art,MWF 8:30am-9:45am
ARTH 272-01 (F),ARTH 272-01 (F)  LEC Arts of the Buddhist World,TR 9:55am-11:10am
ARTH 274-01 (S),ARTH 274-01 (S)  LEC Chinese Calligraphy,W 1:10pm-3:50pm
ARTH 286-01 (F),ARTH 286-01 (F)  LEC Japanese Visual Pop Culture,MR 2:35pm-3:50pm
ARTH 301-01 (F),ARTH 301-01 (F)  LEC Methods of Art History,TR 11:20am-12:35pm
ARTH 303-01 (S),ARTH 303-01 (S)  SEM Museums:History and Practice,T 1:10pm-3:50pm
ARTH 305-01 (F),ARTH 305-01 (F)  SEM Queer Art & Archives,M 7:00pm-9:40pm
ARTH 308-T1 (S),ARTH 308-T1 (S)  TUT African Art / Western Museum,TBA
ARTH 31-01 (W),ARTH 31-01 (W)  HON Senior Thesis: Art History,TBA
ARTH 314-01 (F),ARTH 314-01 (F)  SEM Mughal Power and Art in India,MR 2:35pm-3:50pm
ARTH 327-01 (F),ARTH 327-01 (F)  SEM Acquiring Art,MR 1:10pm-2:25pm
ARTH 33-01 (W),ARTH 33-01 (W)  IND Honors Ind Study: Art History,TBA
ARTH 332-01 (F),ARTH 332-01 (F)  SEM Abstraction in Action,MW 11:00am-12:15pm
ARTH 337-01 (S),ARTH 337-01 (S)  SEM Visual Politics,W 7:00pm-9:40pm
ARTH 338-01 (S),ARTH 338-01 (S)  LEC Romantic Revolution,MW 11:00am-12:15pm
ARTH 342-T1 (S),ARTH 342-T1 (S)  TUT Indian Art and Architecture,TBA
ARTH 344-01 (F),ARTH 344-01 (F)  SEM Pacific-New England,MR 1:10pm-2:25pm
ARTH 358-01 (S),ARTH 358-01 (S)  LEC LatinxInstall&SiteSpecificArt,W 7:00pm-9:40pm
ARTH 367-01 (F),ARTH 367-01 (F)  SEM Documentary Fictions,TF 2:35pm-3:50pm
ARTH 405-01 (F),ARTH 405-01 (F)  SEM Architectural Criticism,W 1:10pm-3:50pm
ARTH 416-01 (S),ARTH 416-01 (S)  SEM The Art of Minor Resistance,TR 8:30am-9:45am
ARTH 424-01 (S),ARTH 424-01 (S)  SEM Heaven's Gate,F 1:10pm-3:50pm
ARTH 434-01 (S),ARTH 434-01 (S)  SEM Renaissance Time,W 1:10pm-3:50pm
ARTH 440-01 (F),ARTH 440-01 (F)  SEM ContExhibitions LA & LatinAmer,W 1:10pm-3:50pm
ARTH 472-01 (F),ARTH 472-01 (F)  SEM Timelines,R 1:10pm-3:50pm
ARTH 494-01 (S),ARTH 494-01 (S)  HON Thesis Seminar,TBA
ARTH 497-01 (F),ARTH 497-01 (F)  IND Independent Study: Art History,TBA
ARTH 498-01 (S),ARTH 498-01 (S)  IND Independent Study: Art History,TBA
ARTH 501-01 (S),ARTH 501-01 (S)  SEM Museums:History and Practice,T 1:10pm-3:50pm
ARTH 504-01 (F),ARTH 504-01 (F)  SEM Proseminar in Rsrch and Method,T 1:10pm-3:50pm
ARTH 506-01 (S),ARTH 506-01 (S)  SEM An Expository Writing Workshop,M 1:10pm-3:50pm
ARTH 507-01 (S),ARTH 507-01 (S)  SEM Object Workshop, 
ARTH 508-01 (S),ARTH 508-01 (S)  SEM Art and Conservation,MR 6:30pm-8:30pm
ARTH 509-01 (S),ARTH 509-01 (S)  SEM Graduate Symposium,TBA
ARTH 512-01 (F),ARTH 512-01 (F)  SEM Why Look at Animals?,W 2:00pm-4:40pm
ARTH 519-01 (S),ARTH 519-01 (S)  SEM Architectural Theory,W 1:10pm-3:50pm
